drink,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watchers Pnts,Milk
Coca-Cola® Classic (Medium),210,0,0,0,0,0,15,58,0,58,0,268,NA
Coca-Cola® Classic (Large),310,0,0,0,0,0,20,86,0,86,0,396,NA
Diet Coke® (Child),0,0,0,0,0,0,15,0,0,0,0,0,NA
Diet Coke® (Small),0,0,0,0,0,0,20,0,0,0,0,0,NA
Diet Coke® (Medium),0,0,0,0,0,0,30,0,0,0,0,0,NA
Diet Coke® (Large),0,0,0,0,0,0,45,0,0,0,0,0,NA
Sprite® (Child),110,0,0,0,0,0,30,28,0,28,0,138,NA
Sprite® (Small),150,0,0,0,0,0,40,39,0,39,0,189,NA
Sprite® (Medium),210,0,0,0,0,0,55,56,0,56,0,266,NA
Sprite® (Large),310,0,0,0,0,0,80,83,0,83,0,393,NA
Hi-C® Orange Lavaburst (Child),120,0,0,0,0,0,0,32,0,32,0,152,NA
Hi-C® Orange Lavaburst (Small),160,0,0,0,0,0,5,44,0,44,0,204,NA
Hi-C® Orange Lavaburst (Medium),240,0,0,0,0,0,10,64,0,64,0,304,NA
Hi-C® Orange Lavaburst (Large),350,0,0,0,0,0,10,94,0,94,0,444,NA
POWERade® Mountain Blast (Child),70,0,0,0,0,0,65,20,0,16,0,86,NA
POWERade® Mountain Blast (Small),100,0,0,0,0,0,85,27,0,21,0,121,NA
POWERade® Mountain Blast (Medium),150,0,0,0,0,0,130,39,0,31,0,181,NA
POWERade® Mountain Blast (Large),220,0,0,0,0,0,190,58,0,46,0,266,NA
Iced Tea (Child),0,0,0,0,0,0,5,0,0,0,0,0,NA
Iced Tea (Small),0,0,0,0,0,0,10,0,0,0,0,0,NA
Iced Tea (Medium),0,0,0,0,0,0,15,0,0,0,0,0,NA
Iced Tea (Large),0,0,0,0,0,0,20,1,0,0,0,0,NA
Coffee (Small),0,0,0,0,0,0,0,0,0,0,0,0,NA
Coffee (Large),0,0,0,0,0,0,0,0,0,0,0,0,NA
Coffee Cream,20,20,2,1.5,0,10,15,0,0,0,0,21.5,NA
Sugar Packet,15,0,0,0,0,0,0,4,0,4,0,19,NA
"EQUAL® 0
Calorie Sweetener",0,0,0,0,0,0,0,1,0,1,0,1,NA
"SPLENDA® No
Calorie Sweetener",0,0,0,0,0,0,0,1,0,1,0,1,NA
Iced Coffee– Caramel (Small),130,50,5,3.5,0,20,80,21,0,20,1,152.5,NA
Iced Coffee– Caramel (Medium),190,70,8,5,0,30,115,27,0,27,2,220,NA
Iced Coffee– Caramel (Large),270,100,11,7,0,40,160,41,0,41,2,316,NA
Iced Coffee– Hazelnut (Small),130,50,5,3.5,0,20,40,21,0,21,1,153.5,NA
Iced Coffee– Hazelnut (Medium),190,70,8,5,0,30,60,29,0,29,2,222,NA
Iced Coffee– Hazelnut (Large),270,100,11,7,0,40,85,43,0,43,2,318,NA
Iced Coffee– Regular (Small),140,50,5,3.5,0,20,40,22,0,22,1,164.5,NA
Iced Coffee– Regular (Medium),200,70,8,5,0,30,60,30,0,30,2,233,NA
Iced Coffee– Regular (Large),280,100,11,7,0,40,85,45,0,45,2,330,NA
Iced Coffee– Vanilla (Small),130,50,5,3.5,0,20,40,21,0,21,1,153.5,NA
Iced Coffee– Vanilla (Medium),190,70,8,5,0,30,60,29,0,28,2,221,NA
Iced Coffee– Vanilla (Large),270,100,11,7,0,40,80,43,0,43,2,318,NA
Iced Coffee with Sugar Free Vanilla Syrup (Small),60,50,5,3.5,0,20,70,8,0,1,1,63.5,NA
Iced Coffee with Sugar Free Vanilla Syrup (Medium),90,70,8,5,0,30,100,11,0,2,2,95,NA
Iced Coffee with Sugar Free Vanilla Syrup (Large),120,100,11,7,0,40,140,16,0,2,2,127,NA
Sweet Tea (Child),110,0,0,0,0,0,5,27,0,27,0,137,NA
Sweet Tea (Large),280,0,0,0,0,0,15,69,0,69,1,348,NA
Sweet Tea (Medium),180,0,0,0,0,0,10,45,0,45,1,224,NA
Sweet Tea (Small),150,0,0,0,0,0,10,36,0,36,1,185,NA
Nonfat Cappuccino (Small),60,0,0,0,0,5,85,9,0,9,6,63,Nonfat
Nonfat Cappuccino (Medium),80,0,0,0,0,5,110,12,0,12,8,84,Nonfat
Nonfat Cappuccino (Large),90,0,0,0,0,5,130,13,0,13,9,94,Nonfat
Nonfat Latte (Small),90,0,0,0,0,5,115,13,0,13,9,94,Nonfat
Nonfat Latte (Medium),110,0,0,0,0,5,140,15,0,15,10,115,Nonfat
Nonfat Latte (Large),120,0,0,0,0,5,160,18,0,18,12,126,Nonfat
Nonfat Caramel Cappuccino (Small),150,0,0,0,0,5,120,33,0,32,5,177,Nonfat
Nonfat Caramel Cappuccino (Medium),190,0,0,0,0,5,150,41,0,41,6,225,Nonfat
Nonfat Caramel Cappuccino (Large),230,0,0,0,0,5,180,49,0,49,7,272,Nonfat
Nonfat Caramel Latte (Small),170,0,0,0,0,5,150,36,0,36,7,199,Nonfat
Nonfat Caramel Latte (Medium),220,0,0,0,0,5,180,45,0,45,9,256,Nonfat
Nonfat Caramel Latte (Large),260,0,0,0,0,5,220,53,0,53,10,303,Nonfat
Nonfat Hazelnut Cappuccino (Small),150,0,0,0,0,5,70,34,0,34,5,179,Nonfat
Nonfat Hazelnut Cappuccino (Medium),190,0,0,0,0,5,90,43,0,43,6,227,Nonfat
Nonfat Hazelnut Cappuccino (Large),230,0,0,0,0,5,100,51,0,51,7,274,Nonfat
Nonfat Hazelnut Latte (Small),180,0,0,0,0,5,95,37,0,37,7,210,Nonfat
Nonfat Hazelnut Latte (Medium),220,0,0,0,0,5,115,46,0,46,9,257,Nonfat
Nonfat Hazelnut Latte (Large),260,0,0,0,0,5,135,55,0,55,10,305,Nonfat
Nonfat Vanilla Cappuccino (Small),150,0,0,0,0,5,70,34,0,34,5,179,Nonfat
Nonfat Vanilla Cappuccino (Medium),190,0,0,0,0,5,90,42,0,42,6,226,Nonfat
Nonfat Vanilla Cappuccino (Large),230,0,0,0,0,5,100,51,0,51,7,274,Nonfat
Nonfat Vanilla Latte (Small),180,0,0,0,0,5,95,37,0,37,7,210,Nonfat
Nonfat Vanilla Latte (Medium),220,0,0,0,0,5,115,46,0,46,9,257,Nonfat
Nonfat Vanilla Latte (Large),260,0,0,0,0,5,135,55,0,55,10,305,Nonfat
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50,0,0,0,0,5,100,15,0,8,5,53,Nonfat
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70,0,0,0,0,5,130,19,0,10,7,73,Nonfat
Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80,0,0,0,0,5,150,22,0,11,8,83,Nonfat
Nonfat Latte with Sugar Free Vanilla Syrup (Small),80,0,0,0,0,5,130,18,0,11,7,84,Nonfat
Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90,0,0,0,0,5,160,22,0,13,9,94,Nonfat
Nonfat Latte with Sugar Free Vanilla Syrup (Large),110,0,0,0,0,5,190,27,0,15,11,114,Nonfat
Mocha with Nonfat Milk (Small),240,45,5,3,0,5,130,41,0,34,7,270,Nonfat
Mocha with Nonfat Milk (Medium),280,50,6,3.5,0,10,160,50,0,42,8,317.5,Nonfat
Mocha with Nonfat Milk (Large),330,50,6,3.5,0,10,190,58,0,50,10,373.5,Nonfat
Hot Chocolate with Nonfat Milk (Small),250,45,5,3,0,10,140,43,0,37,8,282,Nonfat
Hot Chocolate with Nonfat Milk (Medium),310,50,6,3.5,0,10,190,55,0,47,11,349.5,Nonfat
Hot Chocolate with Nonfat Milk (Large),390,50,6,3.5,0,10,250,68,0,59,16,436.5,Nonfat
Iced Nonfat Latte (Small),50,0,0,0,0,5,70,7,0,7,5,52,Nonfat
Iced Nonfat Latte (Medium),60,0,0,0,0,5,90,9,0,9,6,63,Nonfat
Iced Nonfat Latte (Large),70,0,0,0,0,5,105,11,0,11,7,74,Nonfat
Iced Nonfat Caramel Latte (Small),140,0,0,0,0,0,105,30,0,30,3,167,Nonfat
Iced Nonfat Caramel Latte (Medium),150,0,0,0,0,5,120,32,0,32,5,177,Nonfat
Iced Nonfat Caramel Latte (Large),190,0,0,0,0,5,150,40,0,40,6,224,Nonfat
Iced Nonfat Hazelnut Latte (Small),140,0,0,0,0,0,50,32,0,32,3,169,Nonfat
Iced Nonfat Hazelnut Latte (Medium),150,0,0,0,0,5,70,33,0,33,5,178,Nonfat
Iced Nonfat Hazelnut Latte (Large),190,0,0,0,0,5,80,42,0,42,6,226,Nonfat
Iced Nonfat Vanilla Latte (Small),140,0,0,0,0,0,50,31,0,31,3,168,Nonfat
Iced Nonfat Vanilla Latte (Medium),150,0,0,0,0,5,70,33,0,33,5,178,Nonfat
Iced Nonfat Vanilla Latte (Large),190,0,0,0,0,5,85,41,0,41,6,225,Nonfat
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40,0,0,0,0,0,85,13,0,5,4,41,Nonfat
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50,0,0,0,0,5,100,14,0,6,5,51,Nonfat
Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60,0,0,0,0,5,130,19,0,8,6,62,Nonfat
Iced Mocha with Nonfat Milk (Medium),270,70,8,4.5,0,10,140,43,0,35,7,302.5,Nonfat
Iced Nonfat Caramel Mocha (Large),300,60,6,4,0,10,230,49,0,45,11,338,Nonfat
Iced Nonfat Caramel Mocha (Medium),240,60,6,4,0,10,190,37,0,34,9,269,Nonfat
Iced Nonfat Caramel Mocha (Small),200,50,6,4,0,10,140,29,0,26,6,224,Nonfat
Nonfat Caramel Mocha (Large),280,35,4,2.5,0,10,260,49,0,46,12,316.5,Nonfat
Nonfat Caramel Mocha (Medium),240,35,4,2.5,0,5,200,41,0,38,9,271.5,Nonfat
Nonfat Caramel Mocha (Small),200,35,4,2.5,0,5,170,34,0,31,8,225.5,Nonfat
McCafe Coffees – Whole Milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cappuccino (Small),120,60,7,4,0,20,85,9,0,9,6,127,Whole
Cappuccino (Medium),140,70,8,4.5,0,25,105,11,0,11,8,147.5,Whole
Cappuccino (Large),180,90,10,6,0,30,130,13,0,13,9,190,Whole
Latte (Small),150,70,8,4.5,0,25,105,11,0,11,8,157.5,Whole
Latte (Medium),180,90,10,6,0,30,130,13,0,13,10,189,Whole
Latte (Large),210,100,11,7,0,35,150,16,0,16,11,222,Whole
Caramel Cappuccino (Small),200,45,5,3,0,15,125,32,0,32,5,230,Whole
Caramel Cappuccino (Medium),240,50,6,3.5,0,20,150,41,0,40,6,277.5,Whole
Caramel Cappuccino (Large),290,70,8,4.5,0,25,190,49,0,49,8,335.5,Whole
Caramel Latte (Small),230,60,7,4,0,20,140,35,0,35,7,262,Whole
Caramel Latte (Medium),280,70,8,4.5,0,25,170,43,0,43,8,319.5,Whole
Caramel Latte (Large),330,80,9,5,0,30,210,52,0,51,9,377,Whole
Hazelnut Cappuccino (Small),200,45,5,3,0,15,70,34,0,34,5,232,Whole
Hazelnut Cappuccino (Medium),240,50,6,3.5,0,20,85,42,0,42,6,279.5,Whole
Hazelnut Cappuccino (Large),290,70,8,4.5,0,25,105,51,0,51,7,338.5,Whole
Hazelnut Latte (Small),230,60,7,4,0,20,90,36,0,36,7,263,Whole
Hazelnut Latte (Medium),280,70,8,4.5,0,25,110,45,0,45,8,321.5,Whole
Hazelnut Latte (Large),330,80,9,5,0,30,130,53,0,53,9,379,Whole
Vanilla Cappuccino (Small),200,45,5,3,0,15,70,34,0,34,5,232,Whole
Vanilla Cappuccino (Medium),240,50,6,3.5,0,20,85,42,0,42,6,279.5,Whole
Vanilla Cappuccino (Large),290,70,8,4.5,0,25,105,51,0,51,7,338.5,Whole
Vanilla Latte (Small),230,60,7,4,0,20,90,36,0,36,7,263,Whole
Vanilla Latte (Medium),280,70,8,4.5,0,25,110,44,0,44,8,320.5,Whole
Vanilla Latte (Large),330,80,9,5,0,30,130,53,0,53,9,379,Whole
Cappuccino with Sugar Free Vanilla Syrup (Small),100,50,5,3,0,15,105,15,0,7,5,105,Whole
Cappuccino with Sugar Free Vanilla Syrup (Medium),120,60,6,3.5,0,20,130,18,0,9,6,126.5,Whole
Cappuccino with Sugar Free Vanilla Syrup (Large),150,70,8,4.5,0,25,160,22,0,11,8,157.5,Whole
Latte with Sugar Free Vanilla Syrup (Small),130,60,7,4,0,20,125,17,0,10,7,137,Whole
Latte with Sugar Free Vanilla Syrup (Medium),160,70,8,5,0,25,150,21,0,11,8,168,Whole
Latte with Sugar Free Vanilla Syrup (Large),180,90,10,6,0,30,180,25,0,13,10,189,Whole
Mocha (Small),280,100,11,6,0,20,125,40,0,33,6,313,Whole
Mocha (Medium),330,110,12,7,0,25,150,48,0,41,7,371,Whole
Mocha (Large),400,130,14,8,0.5,30,190,58,0,49,10,447,Whole
Hot Chocolate (Small),300,110,12,7,0,25,135,41,0,35,8,334,Whole
Hot Chocolate (Medium),380,130,15,9,0.5,30,170,53,0,45,10,424,Whole
Hot Chocolate (Large),460,160,18,10,0.5,40,220,63,0,54,13,511,Whole
Iced Latte (Small),80,40,4.5,2.5,0,15,65,6,0,6,4,84.5,Whole
Iced Latte (Medium),100,50,6,3.5,0,15,80,8,0,8,6,105.5,Whole
Iced Latte (Large),140,70,8,4.5,0,25,105,10,0,10,7,147.5,Whole
Iced Caramel Latte (Small),160,25,3,1.5,0,10,100,29,0,29,3,187.5,Whole
Iced Caramel Latte (Medium),180,40,4.5,2.5,0,15,120,31,0,31,4,209.5,Whole
Iced Caramel Latte (Large),230,50,6,3.5,0,15,150,40,0,40,6,267.5,Whole
Iced Hazelnut Latte (Small),160,25,3,1.5,0,10,45,31,0,31,3,189.5,Whole
Iced Hazelnut Latte (Medium),180,40,4.5,2.5,0,15,65,33,0,33,4,211.5,Whole
Iced Hazelnut Latte (Large),230,50,6,3.5,0,15,85,41,0,41,6,268.5,Whole
Iced Vanilla Latte (Small),160,25,3,1.5,0,10,45,31,0,31,3,189.5,Whole
Iced Vanilla Latte (Medium),190,40,4.5,2.5,0,15,70,33,0,33,5,220.5,Whole
Iced Vanilla Latte (Large),230,50,6,3.5,0,15,85,41,0,41,6,268.5,Whole
Iced Latte with Sugar Free Vanilla Syrup (Small),60,30,3,2,0,10,80,12,0,4,3,63,Whole
Iced Latte with Sugar Free Vanilla Syrup (Medium),90,40,5,3,0,15,105,14,0,6,5,94,Whole
Iced Latte with Sugar Free Vanilla Syrup (Large),110,50,6,3.5,0,15,130,19,0,8,6,115.5,Whole
Iced Mocha (Medium),310,120,13,8,0,25,140,42,0,35,7,346,Whole
Caramel Mocha (Large),360,130,14,8,0.5,35,220,47,0,46,10,404,Whole
Caramel Mocha (Medium),290,100,12,7,0,25,180,39,0,38,8,327,Whole
Caramel Mocha (Small),250,90,11,6,0,25,150,33,0,31,7,280,Whole
Iced Caramel Mocha (Large),380,140,16,9,0.5,35,210,48,0,46,10,425,Whole
Iced Caramel Mocha (Medium),300,120,14,8,0,30,160,36,0,33,8,333,Whole
Iced Caramel Mocha (Small),240,100,12,7,0,25,130,29,0,26,6,267,Whole
Frappe Caramel (Small),450,180,20,13,1,55,135,61,0,57,6,514,Whole
Frappe Caramel (Medium),550,220,24,15,1,70,160,76,0,71,8,628,Whole
Frappe Caramel (Large),680,260,29,18,1.5,85,200,94,0,88,10,776,Whole
Frappe Mocha (Small),450,180,20,13,1,55,130,62,1,56,7,512,Whole
Frappe Mocha (Medium),560,210,24,15,1,65,160,78,1,70,8,637,Whole
Frappe Mocha (Large),680,250,28,18,1,80,200,96,1,87,10,775,Whole
Strawberry Banana Smoothie (Large),330,10,1,0.5,0,5,55,77,4,70,3,397.5,Reduced fat
Strawberry Banana Smoothie (Medium),260,5,1,0,0,5,40,60,3,54,2,312,Reduced fat
Strawberry Banana Smoothie (Small),210,5,0.5,0,0,5,35,49,2,44,2,252,Reduced fat
Wild Berry Smoothie (Large),320,10,1,0.5,0,5,45,75,4,69,3,386.5,Reduced fat
Wild Berry Smoothie (Medium),260,5,1,0,0,5,35,60,4,55,3,312,Reduced fat
Wild Berry Smoothie (Small),210,5,0.5,0,0,5,30,48,3,44,2,252,Reduced fat
